Année,situation,Taux d’insertion,Part des emplois de niveau cadre ou profession intermédiaire,Part des emplois de niveau cadre,% emplois extérieurs à la région de l’université,Part des emplois stables,Part des emplois à temps plein,Salaire net mensuel médian des emplois à temps plein,Salaire brut annuel estimé,Premier quartile des salaires nets mensuels des emplois à temps plein,Dernier quartile des salaires nets mensuels des emplois à temps plein,Part des diplômés boursiers dans la discipline,Part des femmes,Taux de chômage national,Salaire net mensuel médian national,Salaire net mensuel national 1er quartile,Salaire net mensuel national 3ème quartile,Disciplines_encoded,Domaine_encoded,Discipline_encoded,Secteur disciplinaire_encoded
2017,0,97.0,98.0,93.0,32.0,90.0,99.0,0.9974589032627909,0.9245604928806598,1.5736573554430282,0.722427054399126,33.0,13.0,7.8,0.11349552588918434,-0.43374297548262314,-0.43374297548262314,0.017288444040036398,0.41310282074613286,0.017288444040036398,0.017288444040036398
2018,1,95.0,98.0,93.0,31.0,94.0,98.0,1.9006244247477302,1.8072019845760101,2.2497253096402403,1.9097859768088574,31.0,14.0,7.8,0.5907847463695941,0.5205784060096638,0.5205784060096638,0.017288444040036398,0.41310282074613286,0.017288444040036398,0.017288444040036398
2011,1,96.0,99.0,93.0,31.0,94.0,99.0,1.1152631017173482,1.0226317697356988,1.5285861584965474,1.082232788462681,29.0,13.0,9.7,-1.477468542378848,-0.9109036662287666,-0.9109036662287666,0.017288444040036398,0.41310282074613286,0.017288444040036398,0.017288444040036398
2018,1,92.0,90.0,58.0,43.0,79.0,92.0,0.13356144792937058,0.06643682039906912,-0.0038345376837994856,0.47056304055463755,34.0,41.0,7.8,0.5907847463695941,0.5205784060096638,0.5205784060096638,0.014558689717925387,0.41310282074613286,0.12010919017288443,0.014558689717925387
2017,0,91.0,88.0,58.0,42.0,65.0,92.0,-0.25911921358582046,-0.30133046780732686,-0.45454650714860745,-0.10512613394705042,35.0,41.0,7.8,0.11349552588918434,-0.43374297548262314,-0.43374297548262314,0.014558689717925387,0.41310282074613286,0.12010919017288443,0.014558689717925387
2017,1,97.0,97.0,81.0,50.0,82.0,98.0,1.3508714986264627,1.2432921426595362,1.5736573554430282,1.082232788462681,30.0,24.0,7.8,0.11349552588918434,-0.43374297548262314,-0.43374297548262314,0.011828935395814377,0.41310282074613286,0.12010919017288443,0.011828935395814377
2012,0,79.0,69.0,35.0,35.0,38.0,87.0,-1.3978931319798744,-1.4291501516402747,-1.3559704460782234,-1.1845433361377153,34.0,77.0,10.1,-1.0001793218984383,-0.9109036662287666,-0.9109036662287666,0.017288444040036398,0.21929026387625114,0.11828935395814377,0.017288444040036398
2016,1,94.0,83.0,51.0,38.0,61.0,91.0,-0.25911921358582046,-0.30133046780732686,-0.6799024918810114,-0.3569901477915389,33.0,74.0,8.5,-1.0001793218984383,-1.38806435697491,-1.38806435697491,0.017288444040036398,0.21929026387625114,0.11828935395814377,0.017288444040036398
2015,1,92.0,94.0,72.0,45.0,79.0,97.0,0.5262421094445616,0.45872192781922483,0.49194862872748923,0.722427054399126,32.0,40.0,8.6,-0.44334189800462703,-0.19516263010955143,-0.19516263010955143,0.017288444040036398,0.41310282074613286,0.017288444040036398,0.017288444040036398
2016,1,92.0,95.0,76.0,47.0,82.0,97.0,0.8011185725051954,0.728417939170582,0.8525182042993356,0.9742910682436146,31.0,38.0,8.5,-1.0001793218984383,-1.38806435697491,-1.38806435697491,0.017288444040036398,0.41310282074613286,0.017288444040036398,0.017288444040036398
2015,0,88.0,92.0,69.0,45.0,67.0,96.0,0.13356144792937058,0.06643682039906912,-0.0038345376837994856,0.0028155862720160825,32.0,40.0,8.6,-0.44334189800462703,-0.19516263010955143,-0.19516263010955143,0.017288444040036398,0.41310282074613286,0.017288444040036398,0.017288444040036398
2018,1,89.0,94.0,69.0,50.0,69.0,96.0,0.4869740432930425,0.40968628939170537,0.3567350378880469,0.6504659075864151,36.0,61.0,7.8,0.5907847463695941,0.5205784060096638,0.5205784060096638,0.014558689717925387,0.41310282074613286,0.060964513193812554,0.014558689717925387
2013,1,85.0,89.0,60.0,53.0,59.0,95.0,-0.6125318089494923,-0.6690977560137229,-0.45454650714860745,-0.2850290009788279,34.0,61.0,9.9,-0.3637936945912254,0.5205784060096638,0.5205784060096638,0.014558689717925387,0.41310282074613286,0.060964513193812554,0.014558689717925387
2018,0,86.0,92.0,67.0,50.0,57.0,96.0,0.055025315626332366,-0.007116637242210079,-0.0038345376837994856,0.18271845330379358,36.0,61.0,7.8,0.5907847463695941,0.5205784060096638,0.5205784060096638,0.014558689717925387,0.41310282074613286,0.060964513193812554,0.014558689717925387
2014,0,78.0,86.0,56.0,54.0,43.0,94.0,-0.7303360074040497,-0.7671690328687618,-0.7249736888274921,-0.7167958818550939,34.0,62.0,9.3,-0.3637936945912254,0.0434177152635203,0.0434177152635203,0.014558689717925387,0.41310282074613286,0.060964513193812554,0.014558689717925387
2015,1,86.0,91.0,59.0,52.0,64.0,95.0,-0.25911921358582046,-0.30133046780732686,-0.3644041132556458,-0.2130678541661169,35.0,60.0,8.6,-0.44334189800462703,-0.19516263010955143,-0.19516263010955143,0.014558689717925387,0.41310282074613286,0.060964513193812554,0.014558689717925387
2015,0,80.0,87.0,54.0,52.0,47.0,94.0,-0.6517998751010114,-0.6936155752274826,-0.6799024918810114,-0.7167958818550939,35.0,60.0,8.6,-0.44334189800462703,-0.19516263010955143,-0.19516263010955143,0.014558689717925387,0.41310282074613286,0.060964513193812554,0.014558689717925387
2014,1,87.0,91.0,62.0,54.0,59.0,95.0,-0.25911921358582046,-0.30133046780732686,-0.31933291630916505,-0.06914556054069491,34.0,67.0,9.3,-0.3637936945912254,0.0434177152635203,0.0434177152635203,0.017288444040036398,0.41310282074613286,0.060964513193812554,0.017288444040036398
2019,1,91.0,95.0,65.0,52.0,67.0,97.0,0.5262421094445616,0.45872192781922483,0.44687743178100847,0.8663493480245481,33.0,67.0,7.2,1.3862667805036102,0.0434177152635203,0.0434177152635203,0.017288444040036398,0.41310282074613286,0.060964513193812554,0.017288444040036398
2015,1,86.0,88.0,54.0,53.0,61.0,95.0,-0.37692341204037777,-0.42391956387612556,-0.6348312949345306,-0.3569901477915389,33.0,48.0,8.6,-0.44334189800462703,-0.19516263010955143,-0.19516263010955143,0.017288444040036398,0.41310282074613286,0.060964513193812554,0.017288444040036398
2012,1,83.0,88.0,62.0,60.0,62.0,94.0,-0.4947276104949351,-0.5219908407311645,-0.45454650714860745,-0.4649318680106054,37.0,48.0,10.1,-1.0001793218984383,-0.9109036662287666,-0.9109036662287666,0.017288444040036398,0.41310282074613286,0.060964513193812554,0.017288444040036398
2013,0,81.0,81.0,46.0,50.0,57.0,94.0,-0.8481402058586069,-0.8652403097238007,-0.770044885773973,-0.7167958818550939,26.0,68.0,9.9,-0.3637936945912254,0.5205784060096638,0.5205784060096638,0.011828935395814377,0.41310282074613286,0.060964513193812554,0.011828935395814377
2015,1,84.0,90.0,50.0,50.0,65.0,93.0,-0.18058308128278225,-0.22777701016604768,-0.40947531020212663,-0.033164987134339415,25.0,61.0,8.6,-0.44334189800462703,-0.19516263010955143,-0.19516263010955143,0.011828935395814377,0.41310282074613286,0.060964513193812554,0.011828935395814377
2018,1,91.0,97.0,82.0,52.0,84.0,98.0,1.46867569708102,1.365881238728335,1.5736573554430282,1.7658636831834356,33.0,44.0,7.8,0.5907847463695941,0.5205784060096638,0.5205784060096638,0.014558689717925387,0.41310282074613286,0.09645131938125569,0.014558689717925387
2014,0,84.0,93.0,71.0,53.0,62.0,97.0,0.5262421094445616,0.45872192781922483,0.3116638409415661,0.39860189374192656,30.0,45.0,9.3,-0.3637936945912254,0.0434177152635203,0.0434177152635203,0.014558689717925387,0.41310282074613286,0.09645131938125569,0.014558689717925387
2019,1,91.0,96.0,79.0,48.0,80.0,98.0,1.6257479616870965,1.5129881540108934,1.7088709462824707,1.8378248299961466,30.0,43.0,7.2,1.3862667805036102,0.0434177152635203,0.0434177152635203,0.014558689717925387,0.41310282074613286,0.09645131938125569,0.014558689717925387
2013,0,80.0,90.0,55.0,53.0,50.0,95.0,-0.25911921358582046,-0.30133046780732686,-0.3644041132556458,0.07477673308472708,29.0,65.0,9.9,-0.3637936945912254,0.5205784060096638,0.5205784060096638,0.017288444040036398,0.41310282074613286,0.09645131938125569,0.017288444040036398
